code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
G45.0,G450,DEFAULT,3,Vertebro-basilar artery syndrome,,,,NA,NA,NA,
G45.1,G451,DEFAULT,3,Carotid artery syndrome (hemispheric),,,,NA,NA,NA,
G45.2,G452,DEFAULT,3,Multiple and bilateral precerebral artery syndromes,,,,NA,NA,NA,
G45.3,G453,DEFAULT,3,Amaurosis fugax,,,,NA,NA,NA,
G45.4,G454,DEFAULT,3,Transient global amnesia,,,,NA,NA,NA,
G45.8,G458,DEFAULT,3,Other transient cerebral ischaemic attacks and related syndromes,,,,NA,NA,NA,
G45.9,G459,DEFAULT,3,"Transient cerebral ischaemic attack, unspecified",,,,NA,NA,NA,
G46.0,G460,ASTERISK,2,Middle cerebral artery syndrome,,,,NA,NA,NA,
G46.1,G461,ASTERISK,2,Anterior cerebral artery syndrome,,,,NA,NA,NA,
G46.2,G462,ASTERISK,2,Posterior cerebral artery syndrome,,,,NA,NA,NA,
G46.3,G463,ASTERISK,2,Brain stem stroke syndrome,,,,NA,NA,NA,
G46.4,G464,ASTERISK,2,Cerebellar stroke syndrome,,,,NA,NA,NA,
G46.5,G465,ASTERISK,2,Pure motor lacunar syndrome,,,,NA,NA,NA,
G46.6,G466,ASTERISK,2,Pure sensory lacunar syndrome,,,,NA,NA,NA,
G46.7,G467,ASTERISK,2,Other lacunar syndromes,,,,NA,NA,NA,
G46.8,G468,ASTERISK,2,Other vascular syndromes of brain in cerebrovascular diseases,,,,NA,NA,NA,
H34.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H34.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H34.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H34.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.2,I602,DEFAULT,3,Subarachnoid haemorrhage from anterior communicating artery,,,,NA,NA,NA,
I60.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.4,I604,DEFAULT,3,Subarachnoid haemorrhage from basilar artery,,,,NA,NA,NA,
I60.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.6,I606,DEFAULT,3,Subarachnoid haemorrhage from other intracranial arteries,,,,NA,NA,NA,
I60.7,I607,DEFAULT,3,"Subarachnoid haemorrhage from intracranial artery, unspecified",,,,NA,NA,NA,
I60.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I60.9,I609,DEFAULT,3,"Subarachnoid haemorrhage, unspecified",,,,NA,NA,NA,
I61.0,I610,DEFAULT,3,"Intracerebral haemorrhage in hemisphere, subcortical",,,,NA,NA,NA,
I61.1,I611,DEFAULT,3,"Intracerebral haemorrhage in hemisphere, cortical",,,,NA,NA,NA,
I61.2,I612,DEFAULT,3,"Intracerebral haemorrhage in hemisphere, unspecified",,,,NA,NA,NA,
I61.3,I613,DEFAULT,3,Intracerebral haemorrhage in brain stem,,,,NA,NA,NA,
I61.4,I614,DEFAULT,3,Intracerebral haemorrhage in cerebellum,,,,NA,NA,NA,
I61.5,I615,DEFAULT,3,"Intracerebral haemorrhage, intraventricular",,,,NA,NA,NA,
I61.6,I616,DEFAULT,3,"Intracerebral haemorrhage, multiple localized",,,,NA,NA,NA,
I61.8,I618,DEFAULT,3,Other intracerebral haemorrhage,,,,NA,NA,NA,
I61.9,I619,DEFAULT,3,"Intracerebral haemorrhage, unspecified",,,,NA,NA,NA,
I62.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I62.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I62.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I62.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I62.1,I621,DEFAULT,3,Nontraumatic extradural haemorrhage,,,,NA,NA,NA,
I62.9,I629,DEFAULT,3,"Intracranial haemorrhage (nontraumatic), unspecified",,,,NA,NA,NA,
I63.00  Cerebral infarction due to thrombosis of unspecified precerebral artery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.011 Cerebral infarction due to thrombosis of right vertebral artery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.111 Cerebral infarction due to embolism of right vertebral artery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I63.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
