code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
F00,F00,ASTERISK,2,Dementia in Alzheimer disease,,,,,,,
F00.0,F000,ASTERISK,2,Dementia in Alzheimer disease with early onset,,,,,,,
F00.1,F001,ASTERISK,2,Dementia in Alzheimer disease with late onset,,,,,,,
F00.2,F002,ASTERISK,2,Dementia in Alzheimer disease, atypical or mixed type,,,,,,,
F00.9,F009,ASTERISK,2,Dementia in Alzheimer disease, unspecified,,,,,,,
G30,G30,DEFAULT,3,Alzheimer disease,,,,,,,
G30.0,G300,DEFAULT,3,Alzheimer disease with early onset,,,,,,65,
G30.1,G301,DEFAULT,3,Alzheimer disease with late onset,,,,,65,,
G30.8,G308,DEFAULT,3,Other Alzheimer disease,,,,,,,
G30.9,G309,DEFAULT,3,Alzheimer disease, unspecified,,,,,,,
