code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
F00,F00,ASTERISK,2,Dementia in Alzheimer disease,,,,NA,NA,NA,
F00.0,F000,ASTERISK,2,Dementia in Alzheimer disease with early onset,,,,NA,NA,NA,
F00.1,F001,ASTERISK,2,Dementia in Alzheimer disease with late onset,,,,NA,NA,NA,
F00.2,F002,ASTERISK,2,"Dementia in Alzheimer disease, atypical or mixed type",,,,NA,NA,NA,
F00.9,F009,ASTERISK,2,"Dementia in Alzheimer disease, unspecified",,,,NA,NA,NA,
F01,F01,DEFAULT,3,Vascular dementia,,,,NA,NA,NA,
F01.0,F010,DEFAULT,3,Vascular dementia of acute onset,,,,NA,NA,NA,
F01.1,F011,DEFAULT,3,Multi-infarct dementia,,,,NA,NA,NA,
F01.2,F012,DEFAULT,3,Subcortical vascular dementia,,,,NA,NA,NA,
F01.3,F013,DEFAULT,3,Mixed cortical and subcortical vascular dementia,,,,NA,NA,NA,
F01.8,F018,DEFAULT,3,Other vascular dementia,,,,NA,NA,NA,
F01.9,F019,DEFAULT,3,"Vascular dementia, unspecified",,,,NA,NA,NA,
F02.0,F020,ASTERISK,2,Dementia in Pick disease,,,,NA,NA,NA,
F03,F03X,DEFAULT,3,Unspecified dementia,,,,NA,NA,NA,
F06.7,F067,DEFAULT,3,Mild cognitive disorder,,,,NA,NA,NA,
G30,G30,DEFAULT,3,Alzheimer disease,,,,NA,NA,NA,
G30.0,G300,DEFAULT,3,Alzheimer disease with early onset,,,,NA,NA,65,
G30.1,G301,DEFAULT,3,Alzheimer disease with late onset,,,,NA,65,NA,
G30.8,G308,DEFAULT,3,Other Alzheimer disease,,,,NA,NA,NA,
G30.9,G309,DEFAULT,3,"Alzheimer disease, unspecified",,,,NA,NA,NA,
