"searchterms","exclusionterms","searched_in_column","searchmethod"
"hyperlipidemia","screening","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Hyperlipidaemia","FH:",,
"lipidaemia","quality indicators",,
"hyperlipoproteinaemia","at no increased risk",,
"lipoproteinaemia",,,
"Dyslipidemia",,,
"Dyslipidaemia",,,
"[X]Other hyperlipidaemia",,,
"Abetalipoproteinaemia",,,
"Acid lipase deficiency",,,
"Apolipoprotein B deficiency",,,
"Atherogenic lipoprotein phenotype",,,
"Bassen-Kornzweig disease",,,
"Burger - Grute syndrome",,,
"Disorder of cholesterol metabolism",,,
"Disorder of lipid metabolism",,,
"Disorder of lipoid metabolism NOS",,,
"Disorders of lipid metabolism",,,
"Dysbetalipoproteinaemia",,,
"Dyslipidaemia",,,
"Dyslipidemia",,,
"Familial combined hyperlipidaemia",,,
"Familial defective apolipoprotein B-100",,,
"Familial hyperbetalipoproteinaemia",,,
"Familial hypercholesterolaemia",,,
"Familial hypercholesterolaemia due to genetic defect of apolipoprotein B-100",,,
"Familial hypercholesterolemia",,,
"Familial hyperchylomicronaemia",,,
"Familial hyperlipoproteinaemia type IIb",,,
"Familial lipoprotein lipase deficiency",,,
"Familial type 3 hyperlipoproteinaemia",,,
"Familial type 5 hyperlipoproteinaemia",,,
"Fredrickson type I lipaemia",,,
"Fredrickson type IIb hyperlipoproteinaemia",,,
"Fredrickson type IIb lipidaemia",,,
"Fredrickson type III lipidaemia",,,
"Fredrickson type IV hyperlipoproteinaemia",,,
"Fredrickson type IV lipidaemia",,,
"Fredrickson type V lipaemia",,,
"Fredrickson's hyperlipoproteinaemia, type IIa",,,
"High blood cholesterol/triglycerides",,,
"High cholesterol",,,
"HLD - Hyperlipidaemia",,,
"HLD - Hyperlipidemia",,,
"Hyperbetalipoproteinaemia",,,
"Hypercholesterolaemia",,,
"Hypercholesterolemia",,,
"Hyperchylomicronaemia",,,
"Hyperchylomicronemia",,,
"Hyperlipidaemia",,,
"Hyperlipidaemia clinical management plan",,,
"Hyperlipidaemia, group A",,,
"Hyperlipidemia",,,
"Hypertriglyceridaemia",,,
"Hypertriglyceridemia",,,
"Hypo-alpha-lipoproteinaemia",,,
"Hypo-beta-lipoproteinaemia",,,
"Hypoalphalipoproteinaemia",,,
"LDL - Low density lipoprotein receptor disorder",,,
"Lipase deficiency",,,
"Lipid lowering therapy",,,
"Lipid lowering therapy indicated",,,
"Lipid storage disease",,,
"Lipid-lowering therapy",,,
"Lipidoses",,,
"Lipidoses NOS",,,
"Lipids abnormal",,,
"Lipoprotein deficiencies",,,
"Lipoprotein deficiency disorder",,,
"Lipoprotein deficiency NOS",,,
"Low density lipoproteinaemia",,,
"Low-density-lipoprotein-type (LDL) hyperlipoproteinaemia",,,
"Mixed hyperlipidaemia",,,
"Mixed hyperlipidemia",,,
"Niemann-Pick disease",,,
"Other disorder of lipoid metabolism NOS",,,
"Other disorders of lipoid metabolism",,,
"Other specified pure hypercholesterolaemia",,,
"Pancreatic triacylglycerol lipase deficiency",,,
"Patient on maximal tolerated lipid lowering therapy",,,
"Polygenic hypercholesterolaemia",,,
"Polygenic hypercholesterolemia",,,
"Primary familial xanthomatosis",,,
"Pure hypercholesterolaemia",,,
"Pure hypercholesterolaemia NOS",,,
"Pure hypercholesterolemia",,,
"Pure hyperglyceridaemia",,,
"Pure hyperglyceridemia",,,
"Referral to general practitioner for lipid management",,,
"Referral to GP - lipid management",,,
"Serum lipids borderline raised",,,
"Serum lipids high",,,
"Tuberous xanthoma",,,
"Very low density lipoprotinaemia",,,
"Wolman disease",,,
"Wolman's disease",,,
"Xanthoma tuberosum",,,
"Xanthomatosis, familial",,,
"Tangier disease",,,
