"searchterms","exclusionterms","searched_in_column","searchmethod"
"[X]Acute transmural myocardial infarction of unspecif site","FH:","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"[X]Subsequent myocardial infarction of other sites","Family history",,
"[X]Subsequent myocardial infarction of unspecified site","no myocardial infarction",,
"Acute anterior myocardial infarction",,,
"Acute anteroapical infarction",,,
"Acute anterolateral myocardial infarction",,,
"Acute anteroseptal myocardial infarction",,,
"Acute atrial infarction",,,
"Acute inferior myocardial infarction",,,
"Acute inferolateral myocardial infarction",,,
"Acute inferoposterior infarction",,,
"Acute lateral myocardial infarction",,,
"Acute myocardial infarction",,,
"Acute myocardial infarction NOS",,,
"Acute myocardial infarction of anterior wall",,,
"Acute myocardial infarction of anterolateral wall",,,
"Acute myocardial infarction of inferior wall",,,
"Acute myocardial infarction of inferolateral wall",,,
"Acute myocardial infarction of inferoposterior wall",,,
"Acute myocardial infarction of lateral wall",,,
"Acute myocardial infarction of posterolateral wall",,,
"Acute non-Q wave infarction",,,
"Acute non-ST segment elevation myocardial infarction",,,
"Acute papillary muscle infarction",,,
"Acute posterior myocardial infarction",,,
"Acute Q wave myocardial infarction",,,
"Acute Q-wave infarct",,,
"Acute septal infarction",,,
"Acute ST segment elevation myocardial infarction",,,
"Acute subendocardial infarction",,,
"Acute transmural myocardial infarction of unspecif site",,,
"AMI - Acute myocardial infarction",,,
"Anterior myocardial infarction NOS",,,
"Anteroseptal infarction on electrocardiogram",,,
"Atrial septal defect as current complication following acute myocardial infarction",,,
"Attack - heart",,,
"Cardiac rupture after acute myocardial infarction",,,
"Coronary artery thrombosis",,,
"Coronary thrombosis",,,
"CT - Coronary thrombosis",,,
"Diabetes mellitus insulin-glucose infusion in acute myocardial infarction",,,
"ECG: antero-septal infarct.",,,
"ECG: anteroseptal infarction",,,
"ECG: lateral infarction",,,
"ECG: myocardial infarct NOS",,,
"ECG: myocardial infarction",,,
"ECG: subendocardial infarct",,,
"ECG:posterior/inferior infarct",,,
"H/O: myocardial infarct at greater than 60",,,
"H/O: myocardial infarct at less than 60",,,
"H/O: Myocardial infarction in last year",,,
"Haemopericardium as current complication following acute myocardial infarction",,,
"Healed myocardial infarction",,,
"Heart attack",,,
"History of myocardial infarction",,,
"Lateral infarction on electrocardiogram",,,
"MI - acute myocardial infarction",,,
"MI - Myocardial infarction",,,
"MI - Silent myocardial infarction",,,
"Microinfarction of heart",,,
"Mural thrombosis",,,
"Mural thrombus of heart",,,
"Myocardial infarct",,,
"Myocardial infarction",,,
"Myocardial Infarction",,,
"Myocardial infarction with complication",,,
"NSTEMI - Non-ST segment elevation MI",,,
"Old myocardial infarction",,,
"Other acute myocardial infarction",,,
"Other acute myocardial infarction NOS",,,
"Personal history of myocardial infarction",,,
"Post infarct angina",,,
"Post infarction pericarditis",,,
"Post-infarction pericarditis",,,
"Post-infarction ventricular septal defect",,,
"Post-myocardial infarction syndrome",,,
"Postmyocardial infarction syndrome",,,
"Postoperative myocardial infarction",,,
"Postoperative myocardial infarction, unspecified",,,
"Postoperative subendocardial myocardial infarction",,,
"Postoperative transmural myocardial infarction of anterior wall",,,
"Postoperative transmural myocardial infarction of inferior wall",,,
"Postoperative transmural myocardial infarction other sites",,,
"Postoperative transmural myocardial infarction unspec site",,,
"Reinfarction of myocardium",,,
"Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction",,,
"Rupture of chordae tendinae as current complication following acute myocardial infarction",,,
"Rupture of papillary muscle as current complication following acute myocardial infarction",,,
"Silent myocardial infarction",,,
"STEMI - ST elevation myocardial infarction",,,
"Subsequent myocardial infarction",,,
"Subsequent myocardial infarction of anterior wall",,,
"Subsequent myocardial infarction of inferior wall",,,
"Subsequent myocardial infarction of other sites",,,
"Subsequent myocardial infarction of unspecified site",,,
"Thrombosis - coronary",,,
"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",,,
"True posterior myocardial infarction",,,
"Ventricular septal defect as current complication following acute myocardial infarction",,,
