prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
240241000033119,36135311000001107,Chloral hydrate 143.3mg/5ml oral solution BP,Chloral hydrate 143.3mg/5ml oral solution BP,Oral solution,Oral,Chloral hydrate,28.660mg/1.000ml,4010100,30000
578341000033118,321117007,Flurazepam 15mg capsules,Flurazepam 15mg capsules,Capsule,Oral,Flurazepam hydrochloride,15.000mg,4010100,20000
578441000033112,321118002,Flurazepam 30mg capsules,Flurazepam 30mg capsules,Capsule,Oral,Flurazepam hydrochloride,30.000mg,4010100,10000
595341000033118,321112001,Flunitrazepam 1mg tablets,Flunitrazepam 1mg tablets,Tablet,Oral,Flunitrazepam,1.000mg,4010100,3000
850741000033117,39699311000001107,Loprazolam 1mg tablets,Loprazolam 1mg tablets,Tablet,Oral,Loprazolam mesilate,1.000mg,4010100,900000
851341000033114,321123002,Lormetazepam 1mg tablets,Lormetazepam 1mg tablets,Tablet,Oral,Lormetazepam,1.000mg,4010100,500000
851441000033115,321122007,Lormetazepam 500microgram tablets,Lormetazepam 500microgram tablets,Tablet,Oral,Lormetazepam,500.000microgram,4010100,300000
873341000033110,11490311000001108,Melatonin 2mg capsules,Melatonin 2mg capsules,Capsule,Oral,Melatonin,2.000mg,4010100,100000
873441000033116,7875911000001103,Melatonin 5mg capsules,Melatonin 5mg capsules,Capsule,Oral,Melatonin,5.000mg,4010100,80000
974341000033116,321129003,Nitrazepam 2.5mg/5ml oral suspension,Nitrazepam 2.5mg/5ml oral suspension,Oral suspension,Oral,Nitrazepam,500.000microgram/1.000ml,4010100,80000
975341000033115,321127001,Nitrazepam 5mg tablets,Nitrazepam 5mg tablets,Tablet,Oral,Nitrazepam,5.000mg,4010100,10000000
1428441000033117,321152004,Temazepam 10mg tablets,Temazepam 10mg tablets,Tablet,Oral,Temazepam,10.000mg,4010100,20000000
1428541000033116,321153009,Temazepam 20mg tablets,Temazepam 20mg tablets,Tablet,Oral,Temazepam,20.000mg,4010100,5000000
1457441000033119,321173004,Triclofos 500mg/5ml oral solution,Triclofos 500mg/5ml oral solution,Oral solution,Oral,Triclofos sodium,100.000mg/1.000ml,4010100,30000
1562141000033113,321183000,Zolpidem 5mg tablets,Zolpidem 5mg tablets,Tablet,Oral,Zolpidem tartrate,5.000mg,4010100,2000000
1562341000033111,321177003,Zopiclone 3.75mg tablets,Zopiclone 3.75mg tablets,Tablet,Oral,Zopiclone,3.750mg,4010100,10000000
1562441000033117,321184006,Zolpidem 10mg tablets,Zolpidem 10mg tablets,Tablet,Oral,Zolpidem tartrate,10.000mg,4010100,2000000
1563241000033113,321175006,Zopiclone 7.5mg tablets,Zopiclone 7.5mg tablets,Tablet,Oral,Zopiclone,7.500mg,4010100,20000000
1699841000033119,35915311000001101,Temazepam 10mg/5ml oral solution sugar free,Temazepam 10mg/5ml oral solution sugar free,Oral solution,Oral,Temazepam,2.000mg/1.000ml,4010100,100000
1850541000033113,7821311000001100,Melatonin 3mg capsules,Melatonin 3mg capsules,Capsule,Oral,Melatonin,3.000mg,4010100,100000
2003741000033117,321190005,Zaleplon 5mg capsules,Zaleplon 5mg capsules,Capsule,Oral,Zaleplon,5.000mg,4010100,40000
2003841000033110,321191009,Zaleplon 10mg capsules,Zaleplon 10mg capsules,Capsule,Oral,Zaleplon,10.000mg,4010100,60000
2190241000033114,7877711000001106,Melatonin 3mg tablets,Melatonin 3mg tablets,Tablet,Oral,Melatonin,3.000mg,4010100,70000
2190341000033116,7821111000001102,Melatonin 2.5mg capsules,Melatonin 2.5mg capsules,Capsule,Oral,Melatonin,2.500mg,4010100,10000
2758241000033111,7720811000001103,Melatonin 1mg capsules,Melatonin 1mg capsules,Capsule,Oral,Melatonin,1.000mg,4010100,10000
3085241000033116,321097005,Cloral betaine 707mg tablets,Cloral betaine 707mg tablets,Tablet,Oral,Cloral betaine,707.000mg,4010100,200000
3085341000033114,321104009,Clomethiazole 192mg capsules,Clomethiazole 192mg capsules,Capsule,Oral,Clomethiazole,192.000mg,4010100,500000
3085441000033115,36088911000001104,Clomethiazole 157.5mg/5ml oral solution sugar free,Clomethiazole 157.5mg/5ml oral solution sugar free,Oral solution,Oral,Clomethiazole edisilate,31.500mg/1.000ml,4010100,40000
3197841000033118,7821411000001107,Melatonin 3mg modified-release capsules,Melatonin 3mg modified-release capsules,Modified-release capsule,Oral,Melatonin,3.000mg,4010100,20000
3905341000033116,395522003,Sodium oxybate 500mg/ml oral solution sugar free,Sodium oxybate 500mg/ml oral solution sugar free,Oral solution,Oral,Sodium oxybate,500.000mg/1.000ml,4010100,3000
3978841000033111,8792011000001106,Chloral hydrate 500mg suppositories,Chloral hydrate 500mg suppositories,Suppository,Rectal,Chloral hydrate,500.000mg,4010100,200
3980141000033111,8357311000001100,Chloral hydrate 1g/5ml oral solution BP,Chloral hydrate 1g/5ml oral solution BP,Oral solution,Oral,Chloral hydrate,200.000mg/1.000ml,4010100,4000
4042941000033114,7875811000001108,Melatonin 1mg tablets,Melatonin 1mg tablets,Tablet,Oral,Melatonin,1.000mg,4010100,6000
4518341000033115,8025411000001104,Melatonin 2mg modified-release tablets,Melatonin 2mg modified-release tablets,Modified-release tablet,Oral,Melatonin,2.000mg,4010100,1000000
4957241000033112,8799011000001104,Zopiclone 3.75mg/5ml oral suspension,Zopiclone 3.75mg/5ml oral suspension,Oral suspension,Oral,Zopiclone,750.000microgram/1.000ml,4010100,7000
5414941000033113,321141005,Nitrazepam 5mg/5ml oral suspension,Nitrazepam 5mg/5ml oral suspension,Oral suspension,Oral,Nitrazepam,1.000mg/1.000ml,4010100,3000
5641241000033110,7720711000001106,Melatonin 10mg capsules,Melatonin 10mg capsules,Capsule,Oral,Melatonin,10.000mg,4010100,20000
5897241000033116,8357411000001107,Chloral hydrate 200mg/5ml oral solution BP,Chloral hydrate 200mg/5ml oral solution BP,Oral solution,Oral,Chloral hydrate,40.000mg/1.000ml,4010100,10000
5972141000033111,15242911000001102,Melatonin 10mg/5ml oral solution,Melatonin 10mg/5ml oral solution,Oral solution,Oral,Melatonin,2.000mg/1.000ml,4010100,7000
5972241000033116,15243011000001105,Melatonin 10mg/5ml oral suspension,Melatonin 10mg/5ml oral suspension,Oral suspension,Oral,Melatonin,2.000mg/1.000ml,4010100,4000
5972341000033114,8662911000001101,Melatonin 2.5mg/5ml oral suspension,Melatonin 2.5mg/5ml oral suspension,Oral suspension,Oral,Melatonin,500.000microgram/1.000ml,4010100,3000
5972441000033115,12700111000001104,Melatonin 2mg/5ml oral solution,Melatonin 2mg/5ml oral solution,Oral solution,Oral,Melatonin,400.000microgram/1.000ml,4010100,30000
5972541000033119,12700211000001105,Melatonin 2mg/5ml oral suspension,Melatonin 2mg/5ml oral suspension,Oral suspension,Oral,Melatonin,400.000microgram/1.000ml,4010100,5000
5972641000033118,12700311000001102,Melatonin 3mg/5ml oral solution,Melatonin 3mg/5ml oral solution,Oral solution,Oral,Melatonin,600.000microgram/1.000ml,4010100,4000
5972741000033110,12700411000001109,Melatonin 3mg/5ml oral suspension,Melatonin 3mg/5ml oral suspension,Oral suspension,Oral,Melatonin,600.000microgram/1.000ml,4010100,900
5977641000033116,14056711000001101,Melatonin 5mg/5ml oral solution,Melatonin 5mg/5ml oral solution,Oral solution,Oral,Melatonin,1.000mg/1.000ml,4010100,90000
5978741000033112,8798911000001108,Zopiclone 7.5mg/5ml oral suspension,Zopiclone 7.5mg/5ml oral suspension,Oral suspension,Oral,Zopiclone,1.500mg/1.000ml,4010100,900
5998741000033118,15914411000001109,Melatonin 5mg tablets,Melatonin 5mg tablets,Tablet,Oral,Melatonin,5.000mg,4010100,2000
6001741000033117,14056911000001104,Melatonin 5mg/5ml oral suspension,Melatonin 5mg/5ml oral suspension,Oral suspension,Oral,Melatonin,1.000mg/1.000ml,4010100,10000
6456641000033117,19609611000001101,Zopiclone 3.75mg/5ml oral solution,Zopiclone 3.75mg/5ml oral solution,Oral solution,Oral,Zopiclone,750.000microgram/1.000ml,4010100,4000
7740541000033111,20187111000001104,Chloral hydrate 250mg suppositories,Chloral hydrate 250mg suppositories,Suppository,Rectal,Chloral hydrate,250.000mg,4010100,100
9173541000033117,24509211000001105,Chloral hydrate 200mg/5ml oral suspension,Chloral hydrate 200mg/5ml oral suspension,Oral suspension,Oral,Chloral hydrate,40.000mg/1.000ml,4010100,200
9177941000033119,24510911000001105,Zopiclone 7.5mg/5ml oral solution,Zopiclone 7.5mg/5ml oral solution,Oral solution,Oral,Zopiclone,1.500mg/1.000ml,4010100,1000
9776141000033110,28012811000001102,Melatonin 2.5mg/5ml oral solution,Melatonin 2.5mg/5ml oral solution,Oral solution,Oral,Melatonin,500.000microgram/1.000ml,4010100,2000
10674441000033115,8357711000001101,Chloral hydrate 500mg/5ml oral solution,Chloral hydrate 500mg/5ml oral solution,Oral solution,Oral,Chloral hydrate,100.000mg/1.000ml,4010100,9000
12608441000033113,30104111000001109,Melatonin 3mg modified-release tablets,Melatonin 3mg modified-release tablets,Modified-release tablet,Oral,Melatonin,3.000mg,4010100,100
12687741000033118,28772811000001108,Melatonin 2mg modified-release capsules,Melatonin 2mg modified-release capsules,Modified-release capsule,Oral,Melatonin,2.000mg,4010100,400
13000041000033115,36811611000001101,Melatonin 1mg modified-release tablets,Melatonin 1mg modified-release tablets,Modified-release tablet,Oral,Melatonin,1.000mg,4010100,7000
13000141000033116,36811911000001107,Melatonin 5mg modified-release tablets,Melatonin 5mg modified-release tablets,Modified-release tablet,Oral,Melatonin,5.000mg,4010100,3000
13122341000033117,37406111000001108,Melatonin 1mg/ml oral solution sugar free,Melatonin 1mg/ml oral solution sugar free,Oral solution,Oral,Melatonin,1.000mg/1.000ml,4010100,50000
13285041000033117,12700611000001107,Melatonin 4mg/5ml oral suspension,Melatonin 4mg/5ml oral suspension,Oral suspension,Oral,Melatonin,800.000microgram/1.000ml,4010100,70
14004441000033115,15914311000001102,Melatonin 2mg tablets,Melatonin 2mg tablets,Tablet,Oral,Melatonin,2.000mg,4010100,800
14004541000033119,34447811000001100,Melatonin 4mg tablets,Melatonin 4mg tablets,Tablet,Oral,Melatonin,4.000mg,4010100,200
