prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
25441000033115,331777001,Alclometasone 0.05% cream,Alclometasone 0.05% cream,Cream,Cutaneous,Alclometasone dipropionate,500.000microgram/1.000gram,13040000,60000
25541000033119,2929511000001101,Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd),Alphaderm 1%/10% cream,Cream,Cutaneous,Hydrocortisone/ Urea,10.000mg/1.000gram + 100.000mg/1.000gram,,400000
33241000033115,331778006,Alclometasone 0.05% ointment,Alclometasone 0.05% ointment,Ointment,Cutaneous,Alclometasone dipropionate,500.000microgram/1.000gram,13040000,30000
92941000033112,,Aureocort  Cream  ,,,,,,,5000
94141000033117,3681611000001100,Aureocort ointment (Advanz Pharma),Aureocort ointment,Ointment,Cutaneous,Chlortetracycline hydrochloride/ Triamcinolone acetonide,30.900mg/1.000gram + 1.000mg/1.000gram,,30000
124841000033111,331820009,Betamethasone valerate 0.025% cream,Betamethasone valerate 0.025% cream,Cream,Cutaneous,Betamethasone valerate,250.000microgram/1.000gram,13040000,1000000
125341000033118,159911000001105,Betnovate RD 0.025% cream (GlaxoSmithKline UK Ltd),Betnovate RD 0.025% cream,Cream,Cutaneous,Betamethasone valerate,250.000microgram/1.000gram,,1000000
125441000033112,374372000,Betamethasone valerate 0.1% cream,Betamethasone valerate 0.1% cream,Cream,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,13040000,4000000
125541000033113,692111000001109,Betnovate 0.1% cream (GlaxoSmithKline UK Ltd),Betnovate 0.1% cream,Cream,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,,3000000
125641000033114,547311000001106,Betnovate-C cream (Chemidex Pharma Ltd),Betnovate-C cream,Cream,Cutaneous,Betamethasone valerate/ Clioquinol,1.000mg/1.000gram + 30.000mg/1.000gram,,200000
125741000033117,44811000001106,Betnovate-N cream (Chemidex Pharma Ltd),Betnovate-N cream,Cream,Cutaneous,Betamethasone valerate/ Neomycin sulfate,1.000mg/1.000gram + 5.000mg/1.000gram,,200000
131841000033110,374014000,Betamethasone valerate 0.1% lotion,Betamethasone valerate 0.1% lotion,Liquid,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,13040000,40000
132741000033111,3746611000001107,Betnovate 0.1% lotion (GlaxoSmithKline UK Ltd),Betnovate 0.1% lotion,Liquid,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,,60000
133341000033119,3186411000001108,Bettamousse 0.1% cutaneous foam (RPH Pharmaceuticals AB),Bettamousse 0.1% cutaneous foam,Foam,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,,100000
133441000033113,3431911000001103,Betamethasone 0.1% foam,Betamethasone 0.1% foam,Foam,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,13040000,100000
134141000033119,,Betnovate & Graneodin 50%  Ointment  ,,,,,,,8000
134241000033114,331821008,Betamethasone valerate 0.025% ointment,Betamethasone valerate 0.025% ointment,Ointment,Cutaneous,Betamethasone valerate,250.000microgram/1.000gram,13040000,800000
134441000033110,426011000001100,Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd),Betnovate RD 0.025% ointment,Ointment,Cutaneous,Betamethasone valerate,250.000microgram/1.000gram,,600000
134641000033112,396279000,Betamethasone valerate 0.1% ointment,Betamethasone valerate 0.1% ointment,Ointment,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,13040000,2000000
134841000033113,2913211000001105,Betnovate 0.1% ointment (GlaxoSmithKline UK Ltd),Betnovate 0.1% ointment,Ointment,Cutaneous,Betamethasone valerate,1.000mg/1.000gram,,2000000
134941000033117,909211000001108,Betnovate-C ointment (Chemidex Pharma Ltd),Betnovate-C ointment,Ointment,Cutaneous,Betamethasone valerate/ Clioquinol,1.000mg/1.000gram + 30.000mg/1.000gram,,100000
135041000033117,375669007,Betamethasone dipropionate 0.05% ointment,Betamethasone dipropionate 0.05% ointment,Ointment,Cutaneous,Betamethasone dipropionate,500.000microgram/1.000gram,13040000,70000
135241000033113,547511000001100,Betnovate-N ointment (Chemidex Pharma Ltd),Betnovate-N ointment,Ointment,Cutaneous,Betamethasone valerate/ Neomycin sulfate,1.000mg/1.000gram + 5.000mg/1.000gram,,90000
189141000033113,125711000001105,Canesten HC cream (Bayer Plc),Canesten HC cream,Cream,Cutaneous,Clotrimazole/ Hydrocortisone acetate,10.000mg/1.000gram + 10.000mg/1.000gram,,2000000
266041000033119,346938005,Clobetasol 0.05% cream,Clobetasol 0.05% cream,Cream,Cutaneous,Clobetasol propionate,500.000microgram/1.000gram,13040000,1000000
266141000033115,331880006,Clobetasone 0.05% cream,Clobetasone 0.05% cream,Cream,Cutaneous,Clobetasone butyrate,500.000microgram/1.000gram,13040000,3000000
277941000033111,347928005,Clobetasol 0.05% ointment,Clobetasol 0.05% ointment,Ointment,Cutaneous,Clobetasol propionate,500.000microgram/1.000gram,13040000,1000000
278041000033114,331881005,Clobetasone 0.05% ointment,Clobetasone 0.05% ointment,Ointment,Cutaneous,Clobetasone butyrate,500.000microgram/1.000gram,13040000,2000000
387541000033119,221911000001107,Cutivate 0.05% cream (GlaxoSmithKline UK Ltd),Cutivate 0.05% cream,Cream,Cutaneous,Fluticasone propionate,500.000microgram/1.000gram,,80000
388141000033110,3687911000001103,Cutivate 0.005% ointment (GlaxoSmithKline UK Ltd),Cutivate 0.005% ointment,Ointment,Cutaneous,Fluticasone propionate,50.000microgram/1.000gram,,20000
400441000033113,859911000001101,Daktacort 2%/1% cream (Janssen-Cilag Ltd),Daktacort 2%/1% cream,Cream,Cutaneous,Hydrocortisone/ Miconazole nitrate,10.000mg/1.000gram + 20.000mg/1.000gram,,4000000
405841000033116,278911000001102,Daktacort ointment (Janssen-Cilag Ltd),Daktacort ointment,Ointment,Cutaneous,Hydrocortisone/ Miconazole nitrate,10.000mg/1.000gram + 20.000mg/1.000gram,,800000
417641000033114,16511000001106,Dermovate-NN cream (Chemidex Pharma Ltd),Dermovate-NN cream,Cream,Cutaneous,Clobetasol propionate/ Neomycin sulfate/ Nystatin,500.000microgram/1.000gram + 5.000mg/1.000gram + 100000.000unit/1.000gram + 100000.000unit/1.000gram,,100000
417941000033119,60611000001107,Dermovate 0.05% cream (GlaxoSmithKline UK Ltd),Dermovate 0.05% cream,Cream,Cutaneous,Clobetasol propionate,500.000microgram/1.000gram,,900000
425641000033110,505511000001102,Dermovate-NN ointment (Chemidex Pharma Ltd),Dermovate-NN ointment,Ointment,Cutaneous,Clobetasol propionate/ Neomycin sulfate/ Nystatin,500.000microgram/1.000gram + 5.000mg/1.000gram + 100000.000unit/1.000gram + 100000.000unit/1.000gram,,90000
