"searchterms","exclusionterms","searched_in_column","searchmethod"
"Salicyl","oral solution","Term from EMIS","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"coal tar","tablets",,
"Psoriderm","capsules",,
"Alphosyl","oral suspension",,
"Capasal","granules",,
"Cocois","oromucosal",,
"Polytar","lactic acid",,
"Psoriderm","collodion",,
"Sebco","Methyl salicylate",,
"Exorex","Choline Salicylate",,
"Neutrogena T/Gel","Pills",,
"Carbo-Dome","Corn",,
"Clinitar",,,
"Diprosalic",,,
"Meted shampoo",,,
"Pentrax",,,
"Psorin ointment",,,
"Psorin scalp gel",,,
"Tar 2.3% bath additive",,,
"Tar 2.3% liquid",,,
"Tar 1.6% gel",,,
